402,Pashuram,17,572
403,Sonagazi,17,573
404,Fulchhari,18,781
405,Gaibandha Sadar,18,139
406,Gobindaganj,18,645
407,Palashbari,18,644
408,Sadulllahpur,18,782
409,Saghata,18,783
410,Sundarganj,18,784
411,Bason ,19,863
412,Board Bazar,19,862
413,Borobari,19,861
414,College gate,19,859
415,Gacha,19,990
416,Gazipura,19,860
417,Gazipur Chowrasta,19,123
418,Hotapara,19,866
419,Joydebpur,19,864
420,Kaliakair,19,724
421,Kaliganj,19,715
422,Kapashiya,19,865
423,Kashimpur,19,1048
424,Konabari,19,1068
425,Mawna ,19,867
426,Mowchak,19,1047
427,Sreepur,19,529
428,Tongi,19,517
429,Tongi Cherag Ali,19,858
430,Gopalganj Sadar,20,160
431,Kashiani,20,918
432,Kotalipara,20,919
433,Muksudpur,20,920
434,Tungipara,20,921
435,Azmireeganj,21,684
436,Bahubal,21,725
437,Baniachong,21,842
438,Chunarughat,21,843
439,Habiganj Sadar,21,131
440,Lakhai,21,844
441,Madhabpur,21,726
442,Nabiganj,21,727
443,Bakshiganj,22,871
444,Dewangonj,22,519
445,Islampur (Jamalpur),22,649
446,Jamalpur Sadar,22,143
447,Madarganj,22,532
448,Melandaha,22,531
449,Sarishabari,22,533
450,Bagharpara,23,600
451,Benapole,23,116
452,Chaugachha,23,601
453,Jessore Sadar,23,115
454,Jhikargachha,23,602
455,Keshabpur,23,603
456,Monirampur,23,604
457,Obhoynagar,23,605
458,Sarsa,23,606
459,Jhalokathi Sadar,24,128
460,Kathalia,24,583
461,Nalchhiti,24,609
462,Rajapur,24,608
463,Harinakundu,25,465
464,Jhenaidah sadar,25,153
465,Kaligonj ,25,466
466,Kotchandpur,25,467
467,Maheshpur,25,468
468,Shailakupa,25,469
469,Akkelpur,26,787
470,Joypurhat Sadar ,26,152
471,Kalai,26,785
472,Khetlal,26,786
473,Panchbibi,26,687
474,Dighinala,27,709
475,Guimara,27,888
476,Khagrachari Sadar,27,167
477,Lakkhichhari,27,890
478,Mahalchhari,27,997
479,Maischori,27,893
480,Manikchhari ,27,891
481,Matiranga ,27,892
482,Mohalchori,27,894
483,Panchhari,27,895
484,Ramgar,27,889
485,Batiaghata,28,515
486,Boyra,28,824
487,Chandkhali,28,1028
488,Dacope,28,989
489,Daulatpur,28,827
490,Digholia,28,514
491,Dumuria,28,516
492,Fultola,28,826
493,Khalishpur,28,825
494,Khulna Sadar,28,117
495,Kopilmuni,28,1006
496,Koyra,28,1005
497,Paikgachha Upozila,28,970
498,Rupsha,28,822
499,Sonadanga,28,823
500,Tala Upozilla,28,969
501,Terokhada  ,28,992
502,Astagram,29,996
503,Bajitpur,29,881
504,Bhairab,29,720
505,Hossainpur,29,882
506,Itna,29,995
507,Karimganj,29,883
508,Kishoreganj Sadar,29,144
509,Kuliarchar,29,884
510,Mithamoin,29,994
511,Nikli,29,887
512,Pakundia,29,885
513,Tarial,29,886
514,Bhurungamari,30,788
515,Char Rajibpur,30,795
516,Chilmari,30,792
517,Kurigram Sadar,30,159
518,Nagesshari,30,793
519,Phulbari,30,789
520,Rajarhat,30,790
521,Rawmari,30,794
522,Ulipur,30,791
523,Bheramara,31,636
524,Daulatpur ,31,829
525,Islamic University,31,828
526,Khoksha,31,637
527,Kumarkhali,31,634
